CD_TURMA,DS_TURMA,TIPOCLASSE,GRAU
39457387,7° ANO B MANHA ANUAL,0,14
39510035,3° ANO C TARDE ANUAL,0,14
39427304,MATERNAL 2 F INTEGRAL ANUAL,0,6
39644056,MATERNAL 1 A INTEGRAL ANUAL,0,6
39626675,NÃO SERIADO  3E NOITE ANUAL,0,109
39626942,NÃO SERIADO  3B NOITE ANUAL,0,109
39827995,NÃO SERIADO  1B INTEGRAL ANUAL,0,109
39818584,8° ANO C MANHA ANUAL,0,14
39798911,1016 - MEIO AMBIENTE - 1ª SERI,0,90
39475989, 4A TARDE ANUAL,0,14
39762490,1023 - RADIOLOGIA - 1° MODULO ,0,35
39899131,MULTISERIADA 1E INTEGRAL ANUAL,1,6
39836471,1207 - DESENVOLVIMENTO DE SIST,0,35
39638230,NÃO SERIADO  3B TARDE ANUAL,27,110
39471484, 2A TARDE ANUAL,0,14
39772800,5° ANO A TARDE ANUAL,0,14
39646138,NÃO SERIADO  1T NOITE 1º SEMES,37,109
39829178,10139 - DESIGN DE INTERIORES -,0,35
39886508,NÃO SERIADO  B  ANUAL,38,109
39882777,2° ANO A TARDE ANUAL,0,14
39710588,1ª ETAPA PRÉ-ESCOLA 4B INTEGRA,0,6
39407464,2ª ETAPA PRÉ-ESCOLA A MANHA AN,0,6
39873032,NÃO SERIADO  D  ANUAL,38,109
39292356,3ª SERIE A MANHA ANUAL,0,101
39340629,8° ANO A TARDE ANUAL,0,14
39265798,2ª SERIE D MANHA ANUAL,0,101
39756711,MULTISSERIADA JT MANHA ANUAL,1,6
39624030,NÃO SERIADO  3C MANHA ANUAL,0,109
39514337,4° ANO 3 INTEGRAL ANUAL,0,14
39667246,5° ANO A MANHA ANUAL,0,14
39537378,2ª ETAPA PRÉ-ESCOLA G TARDE AN,0,6
39765693,MATERNAL 2 C INTEGRAL ANUAL,0,6
39737430,1° ANO G1 INTEGRAL ANUAL,0,14
39774146,3ª SERIE MB MANHA ANUAL,41,101
39309673,3ª SERIE C INTEGRAL ANUAL,32,101
39317858,1ª SERIE D NOITE ANUAL,0,101
39474044, 4A INTEGRAL ANUAL,1,6
39614214,NÃO SERIADO  2C MANHA ANUAL,27,110
39699150,EEE 1 MANHA ANUAL,8,14
39336513,1° ANO C TARDE ANUAL,0,14
39542385,MULTISERIADA 7N TARDE ANUAL,1,6
39404006,6° ANO B TARDE ANUAL,0,14
40027110,1 - ESPANHOL - 1° ESTAGIO DISC,0,15
39433396,1ª SERIE C INTEGRAL ANUAL,32,101
39351954,8° ANO C MANHA ANUAL,0,14
39551936,5° ANO 5B TARDE ANUAL,0,14
39906464,3° ANO D TARDE ANUAL,0,14
39394662,2° ANO D INTEGRAL ANUAL,0,14
39497078,1ª SERIE G MANHA ANUAL,0,101
39296440,6° ANO B TARDE ANUAL,0,14
39471958, 2B TARDE ANUAL,0,14
39487834,BERÇÁRIO 1 B TARDE ANUAL,0,6
39437912,9° ANO A MANHA ANUAL,0,14
39459547,8° ANO C MANHA ANUAL,0,14
39584053,MULTISERIADA 4C INTEGRAL ANUAL,1,6
39682553,MULTISERIADA 3A INTEGRAL ANUAL,1,6
39317890,9° ANO A INTEGRAL ANUAL,17,14
39295155,8° ANO B INTEGRAL ANUAL,17,14
39325440,8° ANO A INTEGRAL ANUAL,17,14
39676783,1ª ETAPA PRÉ-ESCOLA B MANHA AN,0,6
39606443,NÃO SERIADO  3D MANHA ANUAL,27,110
39447900,2° NIVEL B TARDE ANUAL,0,26
39906414,NÃO SERIADA E TARDE ANUAL,43,39
39342264,7° ANO E TARDE ANUAL,0,14
39526055,BERÇÁRIO 1 A INTEGRAL ANUAL,0,6
39885920,NÃO SERIADO  C  ANUAL,38,109
39919153,MULTISERIADA 1F INTEGRAL ANUAL,1,6
39448785,1ª SERIE A MANHA ANUAL,0,101
39268074,2ª SERIE A INTEGRAL ANUAL,32,101
39591325,NÃO SERIADO  F2 TARDE ANUAL,27,110
39624427,NÃO SERIADO  2C NOITE ANUAL,0,109
39265816,8° ANO B MANHA ANUAL,0,14
39669183,5° ANO A MANHA ANUAL,0,14
39472832, 2B MANHA ANUAL,0,14
39606658,MULTISERIADA 6B INTEGRAL ANUAL,1,6
39589040,MULTISERIADA 2B INTEGRAL ANUAL,1,6
39345958,1ª SERIE A MANHA ANUAL,0,101
39326623,7° ANO D TARDE ANUAL,0,14
39393568,9° ANO C TARDE ANUAL,0,14
39267407,8° ANO C TARDE ANUAL,0,14
39544902,3° ANO 3C TARDE ANUAL,0,14
39922155,3° TERMO D NOITE 2° SEMESTRE,37,5
39893326,NÃO SERIADO  B  ANUAL,38,109
39361088,2ª SERIE A MANHA ANUAL,0,101
39843966,MULTISSERIADA AS INTEGRAL ANUA,1,6
39490052,1ª SERIE C INTEGRAL ANUAL,32,101
39584764,NÃO SERIADO  3F NOITE ANUAL,0,109
39702950,NÃO SERIADO  B TARDE ANUAL,27,110
39576642,NÃO SERIADO  A2 NOITE ANUAL,0,109
39676563,2° ANO E TARDE ANUAL,0,14
39906841,2º TERMO A NOITE 2º SEMESTRE,37,5
39829914,4° ANO A MANHA ANUAL,0,14
39444076,1° ANO B INTEGRAL ANUAL,0,14
39378549,MULTISSERIADA A MANHA 1° SEMES,1,5
39884239,5° ANO B TARDE ANUAL,0,14
39504485,5° ANO A INTEGRAL ANUAL,17,14
39569037,1° ANO C MANHA ANUAL,0,14
39608739,4050 - ADMINISTRAÇÃO - 2ª SERI,46,104
39432938,2° ANO D TARDE ANUAL,0,14
39656827,NÃO SERIADO  3G TARDE ANUAL,27,110
39274700,2ª SERIE A INTEGRAL ANUAL,32,101
39315220,3ª SERIE A MANHA ANUAL,0,101
39551403,5° ANO 5A TARDE ANUAL,0,14
39823675,5° ANO A MANHA ANUAL,0,14
39649208,MATERNAL 2 C INTEGRAL ANUAL,0,6
39377580,MULTISSERIADA B MANHA ANUAL,1,40
39434082,8° ANO A MANHA ANUAL,0,14
39629447,NÃO SERIADO  3D TARDE ANUAL,27,110
39419453,1° ANO C TARDE ANUAL,0,14
39341903,1ª SERIE B MANHA ANUAL,0,101
39329137,6° ANO A INTEGRAL ANUAL,17,14
39497881,5° ANO B TARDE ANUAL,0,14
39822159,MULTISSERIADA MA INTEGRAL ANUA,1,6
39341220,2ª SERIE B MANHA ANUAL,0,101
39483623,1° ANO C TARDE ANUAL,0,14
39901005,376 - ELETROELETRONICA - 1° MO,0,35
39789919,NÃO SERIADO  F5 TARDE ANUAL,0,109
39449911,4° ANO A MANHA ANUAL,0,14
39419636,1ª ETAPA PRÉ-ESCOLA A INTEGRAL,0,6
39275935,2ª SERIE A INTEGRAL ANUAL,32,101
39284439,9° ANO B MANHA ANUAL,0,14
39531422,3° ANO 3C TARDE ANUAL,0,14
39359123,2ª SERIE A INTEGRAL ANUAL,32,101
39351359,1ª SERIE B MANHA ANUAL,0,101
39456997,1ª SERIE B INTEGRAL ANUAL,32,101
39785092,1ª SERIE B MANHA ANUAL,0,101
39506654,9° ANO B INTEGRAL ANUAL,17,14
39646906,3° ANO 3A TARDE ANUAL,0,14
39441901,MATERNAL 2 C MANHA ANUAL,0,6
39364581,3ª SERIE A INTEGRAL ANUAL,32,101
39295353,1ª SERIE C MANHA ANUAL,0,101
39491099,3° ANO A MANHA ANUAL,0,14
39841417,12173 - AGRONEGÓCIO - 1ª SERIE,0,90
39833525,4050 - ADMINISTRAÇÃO - 1ª SERI,0,90
39860050,4° NIVEL 06 TARDE ANUAL,0,26
39536859, 7L TARDE ANUAL,1,6
39833853,3° ANO A2 INTEGRAL ANUAL,0,14
39422667,1° ANO D TARDE ANUAL,0,14
39542891,MULTISSERIADA E INTEGRAL ANUAL,1,6
39691508,NÃO SERIADO b TARDE ANUAL ,27,110
39694496,NÃO SERIADO 2F TARDE ANUAL ,27,110
39491592,6° ANO E MANHA ANUAL,0,14
39705431,NÃO SERIADO  3A NOITE 1º SEMES,37,109
39563512,NÃO SERIADO  3E NOITE ANUAL,0,109
39306110,9° ANO C MANHA ANUAL,0,14
39691102,NÃO SERIADO 2b TARDE ANUAL ,27,110
39760708,2° NIVEL 5E MANHA ANUAL,0,26
39811589,MULTISSERIADA A NOITE 1° SEMES,1,3
39269071,3ª SERIE H NOITE ANUAL,0,101
39306742,2ª SERIE A INTEGRAL ANUAL,32,101
39375422,3 - FRANCES - 3º ESTAGIO DISCI,0,15
39531536,MATERNAL 2 A INTEGRAL ANUAL,0,6
39468666,6° ANO B TARDE ANUAL,0,14
39274974,7° ANO C INTEGRAL ANUAL,17,14
39490278,3° ANO A MANHA ANUAL,0,14
39736384,2ª ETAPA PRÉ-ESCOLA B2 TARDE A,0,6
39696262,BERÇÁRIO 2 E TARDE ANUAL,0,6
40356965,11175 - QUIMICA - 2° MODULO 20,0,35
39781829,BERÇÁRIO 2 A TARDE ANUAL,0,6
39915518,NÃO SERIADO  M2 NOITE 2º SEMES,39,109
39330874,2ª SERIE B MANHA ANUAL,0,101
39546739,NÃO SERIADO  3C TARDE ANUAL,27,110
39892597,4065 - VENDAS - 2ª SERIE A INT,46,99
39471178, 5D MANHA ANUAL,0,14
39449443,9° ANO D INTEGRAL ANUAL,17,14
39433420,MATERNAL 1 A INTEGRAL ANUAL,0,6
39522150,2ª ETAPA PRÉ-ESCOLA D MANHA AN,0,6
39699303,MULTISSERIADA AI INTEGRAL ANUA,1,6
39614720,NÃO SERIADO  2B MANHA ANUAL,0,109
39817669,NÃO SERIADO  BD TARDE ANUAL,0,109
39395505,7° ANO D TARDE ANUAL,0,14
39873616,3° NIVEL B MANHA ANUAL,0,26
39292152,7° ANO B TARDE ANUAL,0,14
39742289,5° ANO A MANHA ANUAL,0,14
39507303,BERÇÁRIO 1 A INTEGRAL ANUAL,0,6
39605865,NÃO SERIADO  3C NOITE ANUAL,0,109
39907255,2° TERMO A NOITE 2° SEMESTRE,37,5
39505144,AEE B TARDE ANUAL,15,32
39293498,4° ANO C TARDE ANUAL,0,14
39615461,NÃO SERIADO  2H TARDE ANUAL,27,110
39693618,NÃO SERIADO 3c TARDE ANUAL ,27,110
39693609,NÃO SERIADO  F2 TARDE ANUAL,27,110
39632854,2° ANO B MANHA ANUAL,0,14
39667369,1° ANO A MANHA ANUAL,0,14
39318468,9° ANO B MANHA ANUAL,0,14
39772731,6° ANO A MANHA ANUAL,0,14
39847934,MULTISERIADA 6L INTEGRAL ANUAL,1,6
39270836,2ª SERIE A INTEGRAL ANUAL,32,101
39301980,9° ANO A INTEGRAL ANUAL,17,14
39758124,5° ANO P4 TARDE ANUAL,0,14
39914494,6° ANO A MANHA ANUAL ,0,14
39293810,1ª SERIE B MANHA ANUAL,0,101
39534174, 7E MANHA ANUAL,1,6
39282152,2ª SERIE A MANHA ANUAL,0,101
39714532,2ª ETAPA PRÉ-ESCOLA C TARDE AN,0,6
40296572,1° ANO B MANHA ANUAL,0,14
39707013,NÃO SERIADO  4 NOITE ANUAL,0,109
39810482,1ª SERIE B MANHA ANUAL,41,101
39337597,2ª SERIE F NOITE ANUAL,0,101
39338246,7° ANO A INTEGRAL ANUAL,17,14
39894517,NÃO SERIADA H TARDE ANUAL,44,39
39786093,1° ANO A INTEGRAL ANUAL,0,14
39614702,NÃO SERIADO  3O TARDE ANUAL,27,110
39275863,8° ANO B INTEGRAL ANUAL,17,14
39489082,9° ANO D INTEGRAL ANUAL,17,14
39442266,2ª ETAPA PRÉ-ESCOLA B TARDE AN,0,6
39821860,4° ANO A MANHA ANUAL,0,14
39564764,BERÇÁRIO 2 B INTEGRAL ANUAL,0,6
39298916,7° ANO D INTEGRAL ANUAL,17,14
39788231,2° ANO A MANHA ANUAL,0,14
39809519,9° ANO B MANHA ANUAL,0,14
39428828,2ª ETAPA PRÉ-ESCOLA A INTEGRAL,0,6
39410197,2ª ETAPA PRÉ-ESCOLA B MANHA AN,0,6
39595518,NÃO SERIADO  2B MANHA ANUAL,0,109
39569010,6° ANO D MANHA ANUAL,0,14
39760517,8° ANO A MANHA ANUAL,0,14
39846125,1ª ETAPA PRÉ-ESCOLA A MANHA AN,0,6
39916746,MULTISSERIADA B TARDE 2° SEMES,1,4
39475269, 3F INTEGRAL ANUAL,1,6
39790740,2° ANO A MANHA ANUAL,0,14
39305998,2ª SERIE A INTEGRAL ANUAL,32,101
39267175,2ª SERIE A INTEGRAL ANUAL,32,101
39881855,6° ANO B TARDE ANUAL,0,14
39500506,1° ANO B INTEGRAL ANUAL,0,14
39603389,MATERNAL 2 A INTEGRAL ANUAL,0,6
39908347,NÃO SERIADO  3T NOITE 2º SEMES,37,109
39915961,3 - FRANCES - 2° ESTAGIO DISCI,0,15
39409908,5° ANO A MANHA ANUAL,0,14
39331679,8° ANO F MANHA ANUAL,0,14
39542273,6° ANO 6B MANHA ANUAL,0,14
39847360,4° ANO A INTEGRAL ANUAL,0,14
39614829,NÃO SERIADO  3D NOITE ANUAL,0,109
39327177,2ª SERIE C MANHA ANUAL,0,101
39918780,NÃO SERIADO  1T NOITE 2º SEMES,37,109
39518726,1° ANO C TARDE ANUAL,0,14
39778453,MATERNAL 1 B TARDE ANUAL,0,6
39689633,NÃO SERIADO 3G TARDE ANUAL ,27,110
39476006, 4A MANHA ANUAL,0,4
39500031,3° ANO A MANHA ANUAL,0,14
39433084,3° ANO D TARDE ANUAL,0,14
39455699,3° ANO B MANHA ANUAL,0,14
39894704,4° ANO B INTEGRAL ANUAL,0,14
39275917,2° ANO B TARDE ANUAL,0,14
39305669,3ª SERIE A MANHA ANUAL,0,101
39473281, 2C TARDE ANUAL,0,14
39721467,MATERNAL 2 A INTEGRAL ANUAL,0,6
39321025,3ª SERIE A INTEGRAL ANUAL,32,101
39610734,NÃO SERIADO  2C NOITE ANUAL,0,109
39264480,1ª SERIE D TARDE ANUAL,0,101
39280942,9° ANO B INTEGRAL ANUAL,17,14
39666445,2ª ETAPA PRÉ-ESCOLA 5A MANHA A,0,6
39646721,2ª ETAPA PRÉ-ESCOLA A INTEGRAL,0,6
39347891,2ª SERIE A INTEGRAL ANUAL,32,101
39431110,5° ANO B MANHA ANUAL,0,14
39297466,3° ANO C INTEGRAL ANUAL,17,14
39424975,1ª ETAPA PRÉ-ESCOLA C TARDE AN,0,6
39704004,MULTISSERIADA 1B INTEGRAL ANUA,1,6
39267590,2ª SERIE F NOITE ANUAL,0,101
39483742,2ª ETAPA PRÉ-ESCOLA D TARDE AN,0,6
39426281,1° ANO A TARDE ANUAL,0,14
39324487,1ª SERIE D INTEGRAL ANUAL,32,101
39587716,4050 - ADMINISTRAÇÃO - 2ª SERI,46,104
39341752,9° ANO A MANHA ANUAL,0,14
39855140,8° ANO A MANHA ANUAL,0,14
39453265,3° ANO B MANHA ANUAL,0,14
39436277,3° ANO D TARDE ANUAL,0,14
39670145,SÉRIE 10 - 3° TERMO/4 TERMO A ,0,3
39281459,3ª SERIE A MANHA ANUAL,0,101
39428777,2° ANO A MANHA ANUAL,0,14
39752019,2° ANO A TARDE ANUAL,0,14
39513625,1° ANO B TARDE ANUAL,0,14
39318563,3ª SERIE A INTEGRAL ANUAL,32,101
39643236,NÃO SERIADO  2B NOITE ANUAL,0,109
39681542,MULTISERIADA 6C INTEGRAL ANUAL,1,6
39312466,9° ANO C MANHA ANUAL,0,14
39291984,8° ANO A TARDE ANUAL,0,14
39350458,9° ANO B INTEGRAL ANUAL,17,14
39740005,4° ANO B TARDE ANUAL,0,14
39451815,2° ANO D TARDE ANUAL,0,14
39828262,10139 - DESIGN DE INTERIORES -,0,90
39488025,1° ANO D TARDE ANUAL,0,14
40163182,4059 - RECURSOS HUMANOS - 2° M,0,35
39762212,2ª SERIE A MANHA ANUAL,41,101
39501361,9° ANO B INTEGRAL ANUAL,17,14
39779346,4° ANO A INTEGRAL ANUAL,0,14
39411233,1° ANO A INTEGRAL ANUAL,0,14
39613381,MATERNAL 2 C MANHA ANUAL,0,6
39275073,2ª SERIE D MANHA ANUAL,0,101
39487804,1ª SERIE B INTEGRAL ANUAL,32,101
39658597,2° NIVEL M TARDE ANUAL,0,26
39354456,2° ANO B MANHA ANUAL,0,14
39538486,2° ANO A TARDE ANUAL,0,14
39774433,1006 - ENFERMAGEM - 1° MODULO ,0,35
39619917,7° ANO 7C MANHA ANUAL,0,14
39363341,6° ANO B MANHA ANUAL,0,14
39393801,1° ANO B INTEGRAL ANUAL,0,14
39908681,NÃO SERIADO  A3 NOITE 2º SEMES,37,109
39614712,NÃO SERIADO  3A NOITE ANUAL,0,109
39323242,8° ANO B TARDE ANUAL,0,14
39786808,4° ANO M1 MANHA ANUAL,0,14
39399146,4° ANO 4C MANHA ANUAL,0,14
39576230,MULTISERIADA 4B INTEGRAL ANUAL,1,6
39647239,EEE ES TARDE ANUAL,8,14
39696888,9° ANO B TARDE ANUAL,0,14
39657683,5° ANO B TARDE ANUAL,0,14
40293326,3040 - ELETROTECNICA - 1° MODU,0,35
39888203,4050 - ADMINISTRAÇÃO - 3ª SERI,35,99
39334633,1ª SERIE B INTEGRAL ANUAL,32,101
39808706,NÃO SERIADO  B MANHA ANUAL,0,109
39805089,NÃO SERIADO  1I TARDE ANUAL,27,110
39881932,1006 - ENFERMAGEM - 3° MODULO ,0,35
39556065,MULTISSERIADA B INTEGRAL ANUAL,0,58
39771120,NÃO SERIADO  3B MANHA ANUAL,0,109
39272249,3ª SERIE D NOITE ANUAL,0,101
39816059,NÃO SERIADO  3A MANHA ANUAL,0,109
39622312,NÃO SERIADO  B2 MANHA ANUAL,0,109
39360585,3ª SERIE B INTEGRAL ANUAL,32,101
39271979,2ª SERIE C MANHA ANUAL,0,101
39355794,6° ANO D INTEGRAL ANUAL,17,14
39404287,5° ANO B MANHA ANUAL,0,14
39346717,6° ANO E TARDE ANUAL,0,14
39670728,MULTISSERIADA A INTEGRAL ANUAL,1,14
39431695,2° ANO A MANHA ANUAL,0,14
39742416,MATERNAL 2 1 TARDE ANUAL,0,6
39542292,MULTISERIADA 7H TARDE ANUAL,1,6
39515422,6° ANO D TARDE ANUAL,0,14
39329351,2ª SERIE C NOITE ANUAL,0,101
39645532,NÃO SERIADO  3D NOITE ANUAL,0,109
39273648,3ª SERIE E NOITE ANUAL,0,101
39547428,4050 - ADMINISTRACAO - 2ª SERI,46,99
39285530,2ª SERIE C INTEGRAL ANUAL,32,101
39302421,9° ANO B MANHA ANUAL,0,14
39274213,4° ANO A INTEGRAL ANUAL,17,14
39264484,1ª SERIE T NOITE ANUAL,0,101
39840654,6° ANO A MANHA ANUAL,0,14
39540503,4° ANO 4C MANHA ANUAL,0,14
39714208,MATERNAL 1 B INTEGRAL ANUAL,0,6
39562131,MATERNAL 2 B INTEGRAL ANUAL,0,6
39861541,3° NIVEL PA MANHA ANUAL,0,26
39841416,2ª ETAPA PRÉ-ESCOLA B TARDE AN,0,6
39515061,MATERNAL 2 C MANHA ANUAL,0,6
39619682,1006 - ENFERMAGEM - 2ª SERIE E,46,104
39329556,1ª SERIE B INTEGRAL ANUAL,32,101
39601420,NÃO SERIADO  3O TARDE ANUAL,27,110
39521905,5° ANO A MANHA ANUAL,0,14
40304045,1436 - SEGURANCA DO TRABALHO -,0,35
39570543,MULTISSERIADA A INTEGRAL ANUAL,1,6
39427210,1ª ETAPA PRÉ-ESCOLA A MANHA AN,0,6
39284059,8° ANO B TARDE ANUAL,0,14
39273975,2ª SERIE B MANHA ANUAL,0,101
39288680,3ª SERIE F NOITE ANUAL,0,101
39572734,NÃO SERIADO  3B INTEGRAL ANUAL,0,109
39820226,11175 - QUIMICA - 3° MODULO A ,0,35
39860028,5° ANO A INTEGRAL ANUAL,0,14
39299999,7° ANO B TARDE ANUAL,0,14
39839303,2° ANO B TARDE ANUAL,0,14
39627647,3° ANO 3C MANHA ANUAL,0,14
39413068,8° ANO G TARDE ANUAL,0,14
39693903,NÃO SERIADO 3A TARDE ANUAL ,27,110
39702886,NÃO SERIADO D TARDE ANUAL ,27,110
39294709,2ª SERIE F NOITE ANUAL,0,101
39303819,3ª SERIE C NOITE ANUAL,0,101
39693001,NÃO SERIADO 5 TARDE ANUAL ,27,110
39265661,8° ANO A MANHA ANUAL,0,14
39709248,3° ANO A MANHA ANUAL,0,14
39447482,2ª ETAPA PRÉ-ESCOLA E TARDE AN,0,6
39621497,NÃO SERIADO  HU  ANUAL,38,109
39477080, 7C MANHA ANUAL,0,14
39359742,3° ANO C TARDE ANUAL,0,14
39634517,NÃO SERIADO  B INTEGRAL ANUAL,0,109
39490308,MATERNAL 1 B INTEGRAL ANUAL,0,6
39627229,NÃO SERIADO  1A NOITE 1º SEMES,37,109
39904577,BERÇÁRIO 1 A MANHA ANUAL,0,6
39647967,NÃO SERIADO  3A INTEGRAL ANUAL,0,109
39636278,NÃO SERIADO  3C NOITE ANUAL,0,109
39541357,12173 - AGRONEGOCIO - 2ª SERIE,46,99
39304456,2ª SERIE A MANHA ANUAL,0,101
39832308,2ª ETAPA PRÉ-ESCOLA 5B INTEGRA,0,6
39324148,8° ANO B INTEGRAL ANUAL,17,14
39574656,2ª ETAPA PRÉ-ESCOLA C MANHA AN,0,6
39469845, 1A INTEGRAL ANUAL,1,6
39266205,9° ANO A INTEGRAL ANUAL,17,14
39413941,7° ANO B MANHA ANUAL,0,14
39729468,6° ANO E TARDE ANUAL,0,14
39777542,2° ANO B MANHA ANUAL,0,14
39312032,1ª SERIE B MANHA ANUAL,0,101
39335144,9° ANO A INTEGRAL ANUAL,17,14
39301444,7° ANO A TARDE ANUAL,0,14
39279407,7° ANO D INTEGRAL ANUAL,17,14
39467832,5° ANO A MANHA ANUAL,0,14
39729000,8° ANO C TARDE ANUAL,0,14
39435687,1° ANO A MANHA ANUAL,0,14
39451458,3° ANO C TARDE ANUAL,0,14
39852510,10129 - TEATRO - 1° MODULO T1 ,0,35
39555157,9° ANO 9C TARDE ANUAL,0,14
39542509,3° ANO 3B TARDE ANUAL,0,14
39840611,2° NIVEL F1 TARDE ANUAL,0,26
39597385,NÃO SERIADO  2C INTEGRAL ANUAL,0,109
39383638,1° TERMO A NOITE 1° SEMESTRE,37,5
39851518,1° ANO C TARDE ANUAL,0,14
39624260,NÃO SERIADO  2A NOITE ANUAL,0,109
39374359,MULTISSERIADA A  ANUAL,0,5
39401998,7° ANO C MANHA ANUAL,0,14
39325527,2ª SERIE A INTEGRAL ANUAL,32,101
39555819,1ª SERIE B INTEGRAL ANUAL,32,101
39845890,6074 - INFORMATICA PARA INTERN,0,25
39364477,8° ANO A MANHA ANUAL,0,14
39394283,2ª ETAPA PRÉ-ESCOLA 2D TARDE A,0,6
40028006,1006 - ENFERMAGEM - 4° MODULO ,0,35
39321756,6° ANO B INTEGRAL ANUAL,17,14
39317618,3ª SERIE A MANHA ANUAL,0,101
39378814,2° TERMO A NOITE 1° SEMESTRE,37,5
39307264,8° ANO A TARDE ANUAL,0,14
39701202,2ª ETAPA PRÉ-ESCOLA B TARDE AN,0,6
39299701,3ª SERIE A INTEGRAL ANUAL,32,101
39509356,1ª SERIE D INTEGRAL ANUAL,32,101
39550613,5° ANO 5A TARDE ANUAL,0,14
39315439,8° ANO TY TARDE ANUAL,0,14
39469278, 5B TARDE ANUAL,0,14
39284168,2ª SERIE E NOITE ANUAL,0,101
39328860,8° ANO B INTEGRAL ANUAL,17,14
39410972,2ª ETAPA PRÉ-ESCOLA C TARDE AN,0,6
39396405,1ª ETAPA PRÉ-ESCOLA A INTEGRAL,0,6
39763516,1° ANO A MANHA ANUAL,0,14
39327051,2ª SERIE B NOITE ANUAL,0,101
39807778,2ª SERIE A MANHA ANUAL,0,101
39272760,3ª SERIE D NOITE ANUAL,0,101
39482011,7° ANO A INTEGRAL ANUAL,17,14
39567772,MULTISSERIADA A INTEGRAL ANUAL,1,6
39393030,8° ANO E MANHA ANUAL,0,14
39914413,1 - ESPANHOL - 6° ESTAGIO DISC,0,15
39374419,MULTISSERIADA A  ANUAL,0,5
39344840,6° ANO A TARDE ANUAL,0,14
39267227,9° ANO C MANHA ANUAL,0,14
39299145,7° ANO A TARDE ANUAL,0,14
39500286,9° ANO C MANHA ANUAL,0,14
39346793,7° ANO A INTEGRAL ANUAL,17,14
39653902,5° ANO 5C MANHA ANUAL,0,14
39516160,4° ANO B MANHA ANUAL,0,14
39398033,1ª ETAPA PRÉ-ESCOLA I TARDE AN,0,6
39609821,NÃO SERIADO  5 NOITE ANUAL,0,109
40297529,4° ANO D TARDE ANUAL,0,14
39575970,3ª SERIE G NOITE ANUAL,0,101
39331607,4° ANO F TARDE ANUAL,0,14
39600600,NÃO SERIADO  3B TARDE ANUAL,27,110
39341772,1° ANO 1A MANHA ANUAL,0,14
39819715,NÃO SERIADO  33 INTEGRAL ANUAL,0,109
39643370,2ª SERIE D NOITE ANUAL,0,101
39816789,7° ANO A MANHA ANUAL,0,14
39537041, 7B MANHA ANUAL,1,6
39325451,8° ANO A TARDE ANUAL,0,14
39286893,6° ANO B MANHA ANUAL,0,14
